Case_Study,Solver,Method,Num_Rep_Periods,Seed,Time_To_Build_Model,Objective_Function_Value,Num_Variables,Num_Constraints,Num_Constraints_Excluding_Bounds,Solve_Time
Nodes-1flow,Gurobi.Optimizer,Barrier,4380,83572,4.7145047,355000000,149196,334670,225792,6.252000093
Nodes-1flow,Gurobi.Optimizer,Barrier,4380,17154,3.6309544,355000000,149196,334670,225792,6.332999945
Nodes-1flow,Gurobi.Optimizer,Barrier,4380,39567,4.8611184,355000000,149196,334670,225792,6.888999939
Nodes-1flow,Gurobi.Optimizer,Barrier,4380,67595,4.3682639,355000000,149196,334670,225792,6.680999994
Nodes-1flow,Gurobi.Optimizer,Barrier,4380,37763,4.4030891,355000000,149196,334670,225792,6.468999863
Nodes-1flow,Gurobi.Optimizer,Barrier,4380,3605,4.525782,355000000,149196,334670,225792,34.93299985
Nodes-1flow,Gurobi.Optimizer,Barrier,4380,8,4.0104329,355000000,149196,334670,225792,6.390000105
Nodes-1flow,Gurobi.Optimizer,Barrier,4380,19545,4.237144,355000000,149196,334670,225792,6.309999943
Nodes-1flow,Gurobi.Optimizer,Barrier,4380,42849,4.067846,355000000,149196,334670,225792,6.396000147
Nodes-1flow,Gurobi.Optimizer,Barrier,4380,36965,4.3011392,355000000,149196,334670,225792,6.312999964
Nodes-1flow,Gurobi.Optimizer,Barrier,8760,83572,8.9685386,610000000,324132,727094,490560,23.76699996
Nodes-1flow,Gurobi.Optimizer,Barrier,8760,17154,9.6750562,610000000,324132,727094,490560,43.10300016
Nodes-1flow,Gurobi.Optimizer,Barrier,8760,39567,8.8863446,610000000,324132,727094,490560,156.4689999
Nodes-1flow,Gurobi.Optimizer,Barrier,8760,67595,9.2173239,610000000,324132,727094,490560,24.9059999
Nodes-1flow,Gurobi.Optimizer,Barrier,8760,37763,8.7561448,610000000,324132,727094,490560,69.49099994
Nodes-1flow,Gurobi.Optimizer,Barrier,8760,3605,9.0086772,610000000,324132,727094,490560,21.15799999
Nodes-1flow,Gurobi.Optimizer,Barrier,8760,8,9.1169728,610000000,324132,727094,490560,80.07399988
Nodes-1flow,Gurobi.Optimizer,Barrier,8760,19545,9.064825,610000000,324132,727094,490560,56.0710001
Nodes-1flow,Gurobi.Optimizer,Barrier,8760,42849,9.1273195,610000000,324132,727094,490560,22.57800007
Nodes-1flow,Gurobi.Optimizer,Barrier,8760,36965,9.2223921,610000000,324132,727094,490560,22.04699993
Nodes-1flow,Gurobi.Optimizer,Barrier,17520,83572,19.1319536,1050000000,648252,1454174,981120,171.451
Nodes-1flow,Gurobi.Optimizer,Barrier,17520,17154,20.2857859,1050000000,648252,1454174,981120,174.6029999
Nodes-1flow,Gurobi.Optimizer,Barrier,17520,39567,21.2433346,1050000000,648252,1454174,981120,177.085
Nodes-1flow,Gurobi.Optimizer,Barrier,17520,67595,20.0906986,1050000000,648252,1454174,981120,189.2289999
Nodes-1flow,Gurobi.Optimizer,Barrier,17520,37763,19.8136845,1050000000,648252,1454174,981120,166.5779998
Nodes-1flow,Gurobi.Optimizer,Barrier,17520,3605,19.3985674,1050000000,648252,1454174,981120,146.6690001
Nodes-1flow,Gurobi.Optimizer,Barrier,17520,8,20.2012666,1050000000,648252,1454174,981120,147.6330001
Nodes-1flow,Gurobi.Optimizer,Barrier,17520,19545,19.4667888,1050000000,648252,1454174,981120,156.7850001
Nodes-1flow,Gurobi.Optimizer,Barrier,17520,42849,19.8746601,1050000000,648252,1454174,981120,138.309
Nodes-1flow,Gurobi.Optimizer,Barrier,17520,36965,19.8575061,1050000000,648252,1454174,981120,156.1240001
Nodes-1flow,Gurobi.Optimizer,Barrier,26280,83572,53.6792419,1480000000,972372,2181254,1471680,212.3310001
Nodes-1flow,Gurobi.Optimizer,Barrier,26280,17154,55.2720184,1480000000,972372,2181254,1471680,228.549
Nodes-1flow,Gurobi.Optimizer,Barrier,26280,39567,54.9864636,1480000000,972372,2181254,1471680,157.2869999
Nodes-1flow,Gurobi.Optimizer,Barrier,26280,67595,53.8948607,1480000000,972372,2181254,1471680,159.25
Nodes-1flow,Gurobi.Optimizer,Barrier,26280,37763,55.1027008,1480000000,972372,2181254,1471680,212.796
Nodes-1flow,Gurobi.Optimizer,Barrier,26280,3605,59.3066081,1480000000,972372,2181254,1471680,160.961
Nodes-1flow,Gurobi.Optimizer,Barrier,26280,8,54.8854301,1480000000,972372,2181254,1471680,143.9029999
Nodes-1flow,Gurobi.Optimizer,Barrier,26280,19545,53.8051358,1480000000,972372,2181254,1471680,174.7709999
Nodes-1flow,Gurobi.Optimizer,Barrier,26280,42849,58.3081873,1480000000,972372,2181254,1471680,187.335
Nodes-1flow,Gurobi.Optimizer,Barrier,26280,36965,59.8404271,1480000000,972372,2181254,1471680,188.016
Nodes-1flow,Gurobi.Optimizer,Barrier,35040,83572,101.8593546,1890000000,1296492,2908334,1962240,163.2030001
Nodes-1flow,Gurobi.Optimizer,Barrier,35040,17154,102.8690123,1890000000,1296492,2908334,1962240,187.3099999
Nodes-1flow,Gurobi.Optimizer,Barrier,35040,39567,102.164123,1890000000,1296492,2908334,1962240,216.2030001
Nodes-1flow,Gurobi.Optimizer,Barrier,35040,67595,111.8521331,1890000000,1296492,2908334,1962240,219.9020002
Nodes-1flow,Gurobi.Optimizer,Barrier,35040,37763,108.1524422,1890000000,1296492,2908334,1962240,155.569
Nodes-1flow,Gurobi.Optimizer,Barrier,35040,3605,107.5684287,1890000000,1296492,2908334,1962240,124.6629999
Nodes-1flow,Gurobi.Optimizer,Barrier,35040,8,105.3356785,1890000000,1296492,2908334,1962240,195.6929998
Nodes-1flow,Gurobi.Optimizer,Barrier,35040,19545,107.7230158,1890000000,1296492,2908334,1962240,214.5709999
Nodes-1flow,Gurobi.Optimizer,Barrier,35040,42849,103.8257237,1890000000,1296492,2908334,1962240,250.595
Nodes-1flow,Gurobi.Optimizer,Barrier,35040,36965,102.3583493,1890000000,1296492,2908334,1962240,124.7690001
Nodes-2flows,Gurobi.Optimizer,Barrier,672,83572,0.6247036,248000000,28908,63854,45696,0.395999908
Nodes-2flows,Gurobi.Optimizer,Barrier,672,17154,0.997862,248000000,28908,63854,45696,0.399999857
Nodes-2flows,Gurobi.Optimizer,Barrier,672,39567,0.6309319,248000000,28908,63854,45696,0.410000086
Nodes-2flows,Gurobi.Optimizer,Barrier,672,67595,0.6680753,248000000,28908,63854,45696,0.40199995
Nodes-2flows,Gurobi.Optimizer,Barrier,672,37763,1.0135527,248000000,28908,63854,45696,0.411999941
Nodes-2flows,Gurobi.Optimizer,Barrier,672,3605,0.6057076,248000000,28908,63854,45696,0.392000198
Nodes-2flows,Gurobi.Optimizer,Barrier,672,8,0.9440222,248000000,28908,63854,45696,0.40899992
Nodes-2flows,Gurobi.Optimizer,Barrier,672,19545,0.6094972,248000000,28908,63854,45696,0.400000095
Nodes-2flows,Gurobi.Optimizer,Barrier,672,42849,0.680164,248000000,28908,63854,45696,0.400000095
Nodes-2flows,Gurobi.Optimizer,Barrier,672,36965,0.5988007,248000000,28908,63854,45696,0.420000076
Nodes-2flows,Gurobi.Optimizer,Barrier,4380,83572,5.0622023,355000000,173388,383054,274176,7.089999914
Nodes-2flows,Gurobi.Optimizer,Barrier,4380,17154,4.6170886,355000000,173388,383054,274176,6.906000137
Nodes-2flows,Gurobi.Optimizer,Barrier,4380,39567,4.51114,355000000,173388,383054,274176,20.25
Nodes-2flows,Gurobi.Optimizer,Barrier,4380,67595,4.5375975,355000000,173388,383054,274176,19.83899999
Nodes-2flows,Gurobi.Optimizer,Barrier,4380,37763,4.1989424,355000000,173388,383054,274176,6.622999907
Nodes-2flows,Gurobi.Optimizer,Barrier,4380,3605,4.2123,355000000,173388,383054,274176,6.800000191
Nodes-2flows,Gurobi.Optimizer,Barrier,4380,8,4.2952879,355000000,173388,383054,274176,6.898000002
Nodes-2flows,Gurobi.Optimizer,Barrier,4380,19545,4.8796428,355000000,173388,383054,274176,6.791000128
Nodes-2flows,Gurobi.Optimizer,Barrier,4380,42849,4.7890614,355000000,173388,383054,274176,6.730000019
Nodes-2flows,Gurobi.Optimizer,Barrier,4380,36965,4.7712227,355000000,173388,383054,274176,6.451999903
Nodes-2flows,Gurobi.Optimizer,Barrier,8760,83572,11.5938436,610000000,376692,832214,595680,28.74800014
Nodes-2flows,Gurobi.Optimizer,Barrier,8760,17154,11.1367529,610000000,376692,832214,595680,23.26400018
Nodes-2flows,Gurobi.Optimizer,Barrier,8760,39567,10.1699916,610000000,376692,832214,595680,23.47600007
Nodes-2flows,Gurobi.Optimizer,Barrier,8760,67595,10.5357792,610000000,376692,832214,595680,77.73300004
Nodes-2flows,Gurobi.Optimizer,Barrier,8760,37763,11.3036313,610000000,376692,832214,595680,24.60400009
Nodes-2flows,Gurobi.Optimizer,Barrier,8760,3605,12.0309083,610000000,376692,832214,595680,23.53200006
Nodes-2flows,Gurobi.Optimizer,Barrier,8760,8,10.7149015,610000000,376692,832214,595680,65.5
Nodes-2flows,Gurobi.Optimizer,Barrier,8760,19545,12.462131,610000000,376692,832214,595680,124.1529999
Nodes-2flows,Gurobi.Optimizer,Barrier,8760,42849,11.8811483,610000000,376692,832214,595680,23.85700011
Nodes-2flows,Gurobi.Optimizer,Barrier,8760,36965,10.2137142,610000000,376692,832214,595680,52.25399995
Nodes-2flows,Gurobi.Optimizer,Barrier,17520,83572,24.9717225,1050000000,753372,1664414,1191360,168.832
Nodes-2flows,Gurobi.Optimizer,Barrier,17520,17154,23.8234307,1050000000,753372,1664414,1191360,153.197
Nodes-2flows,Gurobi.Optimizer,Barrier,17520,39567,33.7935645,1050000000,753372,1664414,1191360,141.369
Nodes-2flows,Gurobi.Optimizer,Barrier,17520,67595,24.1994097,1050000000,753372,1664414,1191360,178.3629999
Nodes-2flows,Gurobi.Optimizer,Barrier,17520,37763,23.1796739,1050000000,753372,1664414,1191360,193.9860001
Nodes-2flows,Gurobi.Optimizer,Barrier,17520,3605,23.2532143,1050000000,753372,1664414,1191360,150.799
Nodes-2flows,Gurobi.Optimizer,Barrier,17520,8,26.0343773,1050000000,753372,1664414,1191360,241.2550001
Nodes-2flows,Gurobi.Optimizer,Barrier,17520,19545,24.3012166,1050000000,753372,1664414,1191360,229.1400001
Nodes-2flows,Gurobi.Optimizer,Barrier,17520,42849,25.3085747,1050000000,753372,1664414,1191360,151.293
Nodes-2flows,Gurobi.Optimizer,Barrier,17520,36965,23.0830842,1050000000,753372,1664414,1191360,154.1689999
Nodes-2flows,Gurobi.Optimizer,Barrier,26280,83572,78.7457528,1480000000,1130052,2496614,1787040,180.0220001
Nodes-2flows,Gurobi.Optimizer,Barrier,26280,17154,73.2149081,1480000000,1130052,2496614,1787040,189.4779999
Nodes-2flows,Gurobi.Optimizer,Barrier,26280,39567,74.2468193,1480000000,1130052,2496614,1787040,166.125
Nodes-2flows,Gurobi.Optimizer,Barrier,26280,67595,74.9483928,1480000000,1130052,2496614,1787040,194.2025
Nodes-2flows,Gurobi.Optimizer,Barrier,26280,37763,74.2536027,1480000000,1130052,2496614,1787040,196.257
Nodes-2flows,Gurobi.Optimizer,Barrier,26280,3605,77.4340318,1480000000,1130052,2496614,1787040,186.3399999
